	Test Accuracy	Test Top-4 Accuracy	Training Accuracy	Training Top-4 Accuracy	Validation Accuracy	Validation Top-4 Accuracy	denseNodes	dropout1	dropout2	featureVectorString	outputshape	self
33	0.8566666658719381	1.0	0.9504603244191144	0.9995615957913196	0.9054290706556023	0.991243433618295	512	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000024FD4A1B7B8>
34	0.8666666674613953	1.0	0.9671196843751007	1.0	0.9106830118416487	0.9912434318437259	512	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000024FF8548160>
35	0.8666666658719381	0.9933333333333333	0.9622972380796162	0.9995615957913196	0.8984238184897161	0.991243433618295	512	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000250191B6240>
36	0.8600000007947286	0.99	0.9666812801664203	1.0	0.8651488622725532	0.9912434318437259	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002503CCD1F28>
37	0.8500000007947286	0.9800000007947286	0.9622972380534853	0.9995615957913196	0.8528896678767564	0.9824868661927258	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000025063FFBA90>
38	0.8599999992052714	0.9933333333333333	0.9570363875754514	0.9991231915826392	0.8616462353023255	0.9929947460595446	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002508E91DEB8>
39	0.8433333325386048	0.99	0.9570363875493205	0.9995615957913196	0.8563922951601433	0.9894921183586121	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000250B6D0BF98>
40	0.8466666674613953	0.9866666666666667	0.9508987286277948	0.9995615957913196	0.8826619953491224	0.9912434318437259	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000250DDD2D588>
41	0.8433333325386048	0.9866666666666667	0.9631740464708461	1.0	0.8651488604979841	0.9912434318437259	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000250B7C37BA8>
42	0.8333333325386048	0.9866666666666667	0.9570363875493205	0.9995615957913196	0.8616462345716206	0.991243433618295	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000251239CC128>
43	0.8700000007947286	0.9866666666666667	0.9776413853572994	1.0	0.8774080573990549	0.991243433618295	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002514E119710>
44	0.8533333341280619	0.9933333333333333	0.9662428759577398	0.9995615957913196	0.8774080548937809	0.9894921183586121	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002517AF0AC88>
45	0.8699999992052714	0.9966666666666667	0.9715037264619047	0.9995615957913196	0.9054290724301713	0.9929947471034088	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000251A63AAF60>
46	0.8533333325386048	0.9933333333333333	0.9552827707145989	0.9995615957913196	0.8966725050046023	0.9877408066480673	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000025127FB33C8>
47	0.8666666658719381	0.99	0.9798334064007015	1.0	0.9159369533408545	0.9929947471034088	1024	0.25	0.25	https://tfhub.dev/google/imagenet/mobilenet_v2_100_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000251FB23CF60>
48	0.8499999992052714	0.98	0.9232792634809294	0.997807978956598	0.8791593683788947	0.9877408048734982	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000025069608780>
49	0.8466666666666667	0.9833333333333333	0.9245944761331015	0.9947391494958352	0.866900175757667	0.9894921194024763	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002525C4A7C18>
50	0.8699999992052714	0.99	0.9149495835160018	0.9986847873739588	0.8598949218172117	0.9877408066480673	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_035_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002528D423BA8>
51	0.8499999992052714	0.99	0.917580008846477	0.9982463831914093	0.8756567414086671	0.9859894913883844	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000252BA120828>
52	0.8400000007947286	0.9933333333333333	0.9224024550896995	0.9960543621218764	0.8563922930724149	0.9894921201331812	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000025227FE9438>
53	0.8666666658719381	0.9966666666666667	0.9118807540813698	0.997807978956598	0.8844133098781004	0.9894921201331812	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_050_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x0000025317DA57B8>
54	0.8733333325386048	0.9933333333333333	0.908811924620607	0.9973695747479175	0.8896672500202827	0.9894921183586121	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x00000253485DCFD0>
55	0.8800000007947286	0.99	0.9333625603067096	0.997807978956598	0.9001751319748299	0.9929947471034088	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000002535DDE63C8>
